Last 4 Card Digits,Order Date,Menu Item,Qty,Total,Tip
0000,2024-02-03 14:17:00,"Frozen Margarita Flight, Frozen Margarita Flight, Elysian Space Dust, Ghost Rider, Ghost Rider",5.0,91.89,11.0
0004,2024-01-14 17:45:00,"Martini Flight, Chicken Wing Flight",2.0,51.36,35.0
0010,2023-11-20 18:28:00,"Skewer Flight, Jack Daniels",2.0,37.12,13.83
0010,2023-12-07 19:35:00,"Margarita Rock Flight, Beer Flight, Hummus, Mimosa Flight, Margarita Rock Flight, Gin Flight, Mac & Cheese Flight, Chicken Wing Flight, Slider Flight, Taco Flight, Taco Flight, Empanada Flight, Jameson, Margarita Rock Flight, Beer Flight, Hummus, Mimosa Flight, Margarita Rock Flight, Gin Flight, Mac & Cheese Flight, Chicken Wing Flight, Slider Flight, Taco Flight, Taco Flight, Empanada Flight, Jameson",36.0,692.74,0.0
0010,2024-02-24 19:26:00,"Fry Flight, Ahi Tuna Taco Flight, Frozen Margarita Flight",3.0,64.42,22.71
0012,2024-02-09 19:15:00,"Margarita Rock Flight, Taco Flight, Empanada Flight, Ahi Tuna Taco Flight, Flights Burger, Johnnie Walker Black, Beignet Flight, Margarita Rock Flight, Taco Flight, Empanada Flight, Ahi Tuna Taco Flight, Flights Burger, Johnnie Walker Black, Beignet Flight",14.0,261.98,10.72
0013,2024-01-05 21:55:00,"Roasted Lemon Chicken, Side Mac n Cheese",2.0,16.92,11.55
0024,2023-11-27 17:12:00,Baby Back Ribs Flight,1.0,24.0,4.75
0024,2023-12-30 16:44:00,"Mimosa Flight, Taco Flight, Fry Flight, Cheesecake Flight",4.0,77.49,0.0
0024,2024-02-25 16:57:00,"Mule Flight, Empanada Flight, Old Fashioned Flight",3.0,73.24,6.87
0030,2023-12-13 20:07:00,"Old Fashioned Flight, BBQ Pulled Pork Sandwich",2.0,45.879999999999995,16.13
0033,2023-12-03 16:01:00,"Slider Flight, Ahi Tuna Taco Flight, Old Fashioned Flight, MODELO, Beer Flight, Lemonade, Side Fries, BBQ Pulled Pork Sandwich, Ahi Tuna Taco Flight",9.0,144.16,5.0
0034,2023-12-28 16:36:00,"Don Julio Blanco, MODELO, Don Julio Blanco, MODELO",4.0,48.14,1.09
0036,2024-02-21 20:17:00,"Mac & Cheese Flight, Ice Man",2.0,36.06,7.93
0039,2023-12-31 18:12:00,"Mocktini Flight, Bloody Mary Flight, Ahi Tuna Taco Flight, Fry Flight",4.0,79.74,10.34
0040,2023-12-22 18:12:00,"Old Fashioned Flight, Ice Man, Elysian Space Dust, Hummus, Fry Flight, Skewer Flight, Mac & Cheese Flight, Caprese Salad, Flights Burger, Flights Burger, Flights Burger, Fettuccine Alfredo",12.0,230.32,15.0
0047,2024-02-02 18:41:00,"Gin Flight, Martini Flight, Fry Flight, Slider Flight, Mac & Cheese Flight, Skewer Flight, Ahi Tuna Taco Flight, 12 Oz New York Steak, Ice Man",9.0,215.16,0.0
0048,2023-12-08 19:57:00,"Margarita Rock Flight, Ahi Tuna Taco Flight",2.0,45.879999999999995,10.09
0057,2023-11-10 18:43:00,"Manhattan, Hapas ipa, Pinot Noir - Josh - Glass, Margarita, 12 Oz New York Steak, BBQ Pulled Pork Sandwich, Roasted Lemon Chicken, Hess Cabernet, Margarita, Beignet Flight",10.0,186.8,3.88
0057,2024-01-06 18:48:00,"Sprite, Old Fashioned Flight, Baby Back Ribs Flight, Empanada Flight, Taco Flight, Fry Flight",6.0,113.53999999999999,4.5
0059,2023-11-18 12:01:00,"Ahi Tuna Taco Flight, Mile High",2.0,34.95,5.0
0060,2023-11-18 20:47:00,"Hummus, Fry Flight, Mule Flight, Beer Flight, Sierra Hazy, Taco Flight",6.0,108.12,0.0
0063,2023-12-02 20:08:00,"MODELO, Grey Goose, Old Fashioned Flight, Martini Flight, Mac & Cheese Flight, Fry Flight, Frozen Margarita Flight, Margarita Rock Flight",8.0,168.35,0.0
0072,2023-12-19 20:30:00,"Mule Flight, Mojito Flight, Old Fashioned Flight",3.0,78.75,0.0
0081,2024-02-16 17:58:00,HH Old Fashioned Flight,1.0,16.41,15.51
0084,2024-02-02 19:37:00,"Elysian Space Dust, Hapas ipa, Skewer Flight, Old Fashioned Flight, Fry Flight",5.0,86.28999999999999,20.75
0085,2024-02-18 12:46:00,"Ginger Beer, Iced Tea, Iced Tea, HH Mimosa Flight, cheese flight, Hummus, Caprese Salad, Wedge Salad, Caesar Salad, 12 Oz New York Steak, 6 Oz N.Y. Steak & Eggs, Baby Back Ribs Flight, Flights Burger",13.0,210.64,15.95
0088,2024-01-13 14:15:00,"Coke, Slider Flight, Side Fries, Breakfast Burrito, Side Fries, Cheesecake Flight",6.0,67.66,14.89
0096,2024-01-29 18:00:00,Baby Back Ribs Flight,1.0,24.0,25.0
0103,2023-11-25 12:52:00,"Old Fashioned Flight, Coke, Martini Flight, Frozen Margarita Flight, Frozen Margarita Flight, Fettuccine Alfredo",6.0,138.87,25.0
0106,2024-01-28 14:03:00,"Martini Flight, HH Mimosa Flight, Taco Flight, Slider Flight, Toast Flight, Mojito Flight, Bloody Mary, Chicken Wing Flight, Birthday Cheesecake, Martini Flight, Martini Flight",12.0,232.75,3.13
0109,2023-11-22 19:16:00,"Red Wine Flight, Old Fashioned Flight, Fry Flight",3.0,71.03999999999999,15.41
0116,2023-12-17 12:59:00,"Fry Flight, Mac & Cheese Flight, Empanada Flight, Ahi Tuna Taco Flight",4.0,79.64999999999999,4.78
0120,2023-11-10 22:26:00,"MODELO, Ghost Rider",5.0,50.32,5.3
0121,2023-12-16 19:39:00,"Chicken Wing Flight, Ahi Tuna Taco Flight",2.0,44.739999999999995,8.95
0128,2023-12-01 18:26:00,"Jameson, Tempranillo - The Fabliest - Glass, Flights Burger",3.0,45.87,6.0
0134,2024-02-17 19:14:00,"Fry Flight, Taco Flight, Mac & Cheese Flight, Skewer Flight, Mojito Flight",5.0,109.16,0.0
0138,2023-12-17 15:40:00,"805, Wedge Salad",2.0,22.91,12.78
0146,2024-01-12 19:42:00,"Cordant Syrah Glass Pandemonium, Ahi Tuna Taco Flight, Skewer Flight, Caprese Salad, Fry Flight, Ginger Beer",6.0,102.59,10.0
0155,2024-01-12 18:01:00,"HH Mojito Flight, HH Martini Flight, HH Frozen Margarita Flight, Flights Burger, Taco Flight, Mac & Cheese Flight, Ahi Tuna Taco Flight, Empanada Flight, Ahi Tuna Taco Flight, Beer Flight, Cheesecake Flight",12.0,218.33999999999997,36.94
0157,2023-12-16 18:05:00,"Bird Dog, Smoked Show",2.0,30.64,24.26
0159,2023-11-10 16:50:00,"Fry Flight, Coke, HH Tasting Wine Flight, Skewer Flight, Cheesecake Flight",6.0,89.47,5.0
0159,2024-01-20 13:46:00,"Flights Burger, Mac & Cheese Flight",2.0,39.28,6.0
0163,2024-01-15 17:30:00,Meatballs,1.0,18.54,12.96
0166,2024-02-03 12:38:00,Breakfast Burrito,1.0,0.0,13.54
0170,2023-11-20 21:15:00,"Sierra Hazy, Flights Burger",4.0,44.79,10.0
0174,2024-02-02 19:48:00,"Fry Flight, Baby Back Ribs Flight, Frozen Margarita Flight, Margarita Rock Flight, Empanada Flight",5.0,115.78,13.56
0177,2023-12-31 16:55:00,"Taco Flight, Fry Flight, Martini Flight, Campbell Mud Pie",4.0,77.53999999999999,14.0
0181,2024-01-20 17:43:00,"Fry Flight, Caprese Salad, Ahi Tuna Taco Flight",3.0,52.33,8.73
0185,2024-01-19 17:43:00,"HH Old Fashioned Flight, HH Mule Flight, HH Margarita Rock Flight, HH Mule Flight",4.0,65.64,13.97
0194,2023-12-01 20:25:00,"Mojito Flight, Martini Flight, Fry Flight, Hummus, Mule Flight, Old Fashioned Flight, Skewer Flight, Caprese Salad, Fettuccine Alfredo",9.0,199.89,5.78
0209,2024-02-23 20:13:00,"Kids Lemonade, Kids Apple Juice, Mojito Flight, Ahi Tuna Taco Flight, Slider Flight, Macaroni & Cheese, Cheesecake Flight",7.0,91.7,0.0
0212,2023-11-18 20:57:00,"Mojito Flight, Mule Flight, Fettuccine Alfredo, Slider Flight, Taco Flight, Baby Back Ribs Flight, Empanada Flight, Salad Flight, Martini Flight, Beignet Flight, Beignet Flight",11.0,238.04,7.0
0214,2024-01-26 18:22:00,"HH Martini Flight, HH BEER, Skewer Flight, Fry Flight, Baby Back Ribs Flight",5.0,88.41,15.52
0216,2023-11-09 17:31:00,"Taco Flight, Roasted Lemon Chicken, Ginger Beer, Ginger Beer",4.0,55.68,19.67
0225,2023-12-18 17:23:00,Sea Glass,1.0,9.84,0.0
0226,2023-12-10 17:28:00,"Bird Dog, Chicken Wing Flight",2.0,40.43,7.28
0238,2024-02-16 18:51:00,"Baby Back Ribs Flight, Caesar Salad, Chicken Slider, Pan Seared Salmon Fillet, 12 Oz New York Steak, Beer Flight, Chicken Slider, Cheesecake Flight",8.0,162.68,36.29
0249,2023-11-10 15:51:00,"Mule Flight, Mojito Flight, Empanada Flight",3.0,73.24,20.76
0256,2024-01-08 16:43:00,"Roasted Lemon Chicken, Chicken Wing Flight, Mac & Cheese Flight, MODELO, MODELO",5.0,90.64,2.4
0257,2024-02-03 21:10:00,"Beer Flight, Margarita Rock Flight, Fry Flight, Elysian Space Dust",4.0,71.03999999999999,15.0
0259,2023-12-05 17:36:00,"HH Tasting Wine Flight, Flights Burger, HH Tasting Wine Flight, Flights Burger",8.0,152.92000000000002,11.0
