,Menu Item,Modifiers,Price,Qty,Discount,Net,Tax,Total,Voided?,Reason,Refund Qty,Refund,Last 4 Card Digits,Order Date,Tip,Gratuity
0,Margarita Rock Flight,Salt,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
1,Margarita Rock Flight,Salt,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
2,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
3,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
4,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
5,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
6,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
7,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
8,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,3108.0,2023-12-08 18:46:00,$6.86,$45.71
0,Margarita Rock Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8015.0,2023-12-08 18:54:00,$23.79,$0.00
1,Red Wine Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8015.0,2023-12-08 18:54:00,$23.79,$0.00
2,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,8015.0,2023-12-08 18:54:00,$23.79,$0.00
3,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,8015.0,2023-12-08 18:54:00,$23.79,$0.00
4,Cheesecake Flight,,$11.95,1.0,$0.00,$11.95,$1.120,$13.07,False,,0,$0.00,8015.0,2023-12-08 18:54:00,$23.79,$0.00
0,Margarita Rock Flight,Taj,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
1,Mimosa Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
2,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
3,Flights Burger,"Reg Fries, NO Red Onion, NO Pickle, Medium Well",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
4,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
5,Flights Burger,"Well Done, Reg Fries, Side Of Ranch, NO Pickle, NO Red Onion",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
6,Flights Burger,"Well Done, NO Red Onion, Reg Fries",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
7,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2640.0,2023-12-08 18:55:00,$39.40,$0.00
0,Maker Mark,Big Rock,$13.00,1.0,$0.00,$13.00,$1.210,$14.21,False,,0,$0.00,1000.0,2023-12-08 18:59:00,$9.40,$0.00
1,Mile High,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1000.0,2023-12-08 18:59:00,$9.40,$0.00
2,Hummus,,$15.95,1.0,$0.00,$15.95,$1.500,$17.45,False,,0,$0.00,1000.0,2023-12-08 18:59:00,$9.40,$0.00
0,Margarita Rock Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4509.0,2023-12-08 19:00:00,$25.00,$0.00
1,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,4509.0,2023-12-08 19:00:00,$25.00,$0.00
2,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,4509.0,2023-12-08 19:00:00,$25.00,$0.00
3,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,4509.0,2023-12-08 19:00:00,$25.00,$0.00
4,Beignet Flight,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,4509.0,2023-12-08 19:00:00,$25.00,$0.00
0,Old Fashioned Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
1,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
3,Flights Burger,"Medium, Extra Everything",$16.95,2.0,$0.00,$33.90,$3.170,$37.07,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
4,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
5,Elysian Space Dust,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
6,Sauvignon Blanc - Intrinsic - Glass,,$12.00,1.0,$0.00,$12.00,$1.120,$13.12,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
7,MODELO,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,2529.0,2023-12-08 19:00:00,$39.64,$0.00
0,Margarita Rock Flight,Taj,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
1,Margarita Rock Flight,Taj,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
2,Roasted Lemon Chicken,,$24.95,1.0,$0.00,$24.95,$2.340,$27.29,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
3,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
4,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
5,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
6,Tempranillo - The Fabliest - Glass,,$10.00,1.0,$0.00,$10.00,$0.930,$10.93,False,,0,$0.00,5995.0,2023-12-08 19:09:00,$32.55,$0.00
0,Frozen Margarita Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,2217.0,2023-12-08 19:11:00,$10.00,$0.00
1,Ice Man,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,2217.0,2023-12-08 19:11:00,$10.00,$0.00
2,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,2217.0,2023-12-08 19:11:00,$10.00,$0.00
3,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2217.0,2023-12-08 19:11:00,$10.00,$0.00
0,Tempranillo - The Fabliest - Glass,,$10.00,1.0,$0.00,$10.00,$0.930,$10.93,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
1,Red Wine Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
2,Old Fashioned Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
3,Smoked Show,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
4,Skewer Flight,"Chicken, Chicken, Steak",$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
5,Baby Back Ribs Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
6,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
7,Skewer Flight,"Chicken, Chicken, Steak",$21.95,1.0,$10.98,$10.97,$1.040,$12.01,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
8,Tempranillo - The Fabliest - Glass,,$10.00,1.0,$0.00,$10.00,$0.930,$10.93,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
9,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
10,Beignet Flight,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
11,Beignet Flight,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,1379.0,2023-12-08 19:12:00,$22.50,$0.00
0,Beer Flight,,$16.00,1.0,$0.00,$16.00,$1.500,$17.50,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
1,Mojito Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
2,Bloody Mary Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
3,Margarita Rock Flight,Salt Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
4,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
5,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
6,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
7,Flights Burger,"Medium Well, NO Cheddar Cheese",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
8,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
9,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
10,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
11,Margarita Rock Flight,Tajin Tim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
12,Chicken Wing Flight,,$22.95,1.0,$0.00,$22.95,$2.160,$25.11,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
13,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,930.0,2023-12-08 19:23:00,$0.00,$11.00
0,Margarita Rock Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
1,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
2,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
3,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
4,Flights Burger,Medium,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
5,Empanada Flight,,$18.95,1.0,$9.48,$9.47,$0.880,$10.35,False,,0,$0.00,1009.0,2023-12-08 19:32:00,$20.00,$25.58
0,Mocktini Flight,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,6388.0,2023-12-08 19:39:00,$2.00,$0.00
1,Margarita Rock Flight,Tajin Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,6388.0,2023-12-08 19:39:00,$2.00,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,6388.0,2023-12-08 19:39:00,$2.00,$0.00
0,Don Julio 70,,$18.00,1.0,$0.00,$18.00,$1.680,$19.68,False,,0,$0.00,563.0,2023-12-08 19:44:00,$15.00,$0.00
1,Don Julio 70,,$18.00,1.0,$0.00,$18.00,$1.680,$19.68,False,,0,$0.00,563.0,2023-12-08 19:44:00,$15.00,$0.00
2,Margarita Rock Flight,Taj And Salt,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,563.0,2023-12-08 19:44:00,$15.00,$0.00
0,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,4205.0,2023-12-08 19:50:00,$19.22,$0.00
1,Margarita Rock Flight,Tajin Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4205.0,2023-12-08 19:50:00,$19.22,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,4205.0,2023-12-08 19:50:00,$19.22,$0.00
3,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,4205.0,2023-12-08 19:50:00,$19.22,$0.00
4,cheese flight,,$14.95,1.0,$0.00,$14.95,$1.410,$16.36,False,,0,$0.00,4205.0,2023-12-08 19:50:00,$19.22,$0.00
0,Caprese Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
1,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
2,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
3,Mac & Cheese Flight,"Bacon Sticks, Bacon Sticks, Bacon Sticks",$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
4,Flights Burger,Medium,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
5,Side Fries,BBQ,$6.00,1.0,$0.00,$6.00,$0.570,$6.57,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
6,Flights Burger,Medium Rare,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
7,Baby Back Ribs Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
8,Roasted Lemon Chicken,,$24.95,1.0,$0.00,$24.95,$2.340,$27.29,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
9,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
10,Flights Burger,"Medium Rare, Regular Fries instead of garlic",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
11,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
12,Side Mac n Cheese,,$6.00,1.0,$0.00,$6.00,$0.570,$6.57,True,Customer Changed Mind,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
13,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
14,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
15,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
16,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
17,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,2646.0,2023-12-08 19:55:00,$0.00,$0.00
0,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
1,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
